Date,Close
02/01/2018 16:00:00,1189.01
03/01/2018 16:00:00,1204.2
04/01/2018 16:00:00,1209.59
05/01/2018 16:00:00,1229.14
08/01/2018 16:00:00,1246.87
09/01/2018 16:00:00,1252.7
10/01/2018 16:00:00,1254.33
11/01/2018 16:00:00,1276.68
12/01/2018 16:00:00,1305.2
16/01/2018 16:00:00,1304.86
17/01/2018 16:00:00,1295
18/01/2018 16:00:00,1293.32
19/01/2018 16:00:00,1294.58
22/01/2018 16:00:00,1327.31
23/01/2018 16:00:00,1362.54
24/01/2018 16:00:00,1357.51
25/01/2018 16:00:00,1377.95
26/01/2018 16:00:00,1402.05
29/01/2018 16:00:00,1417.68
30/01/2018 16:00:00,1437.82
31/01/2018 16:00:00,1450.89
01/02/2018 16:00:00,1390
02/02/2018 16:00:00,1429.95
05/02/2018 16:00:00,1390
06/02/2018 16:00:00,1442.84
07/02/2018 16:00:00,1416.78
08/02/2018 16:00:00,1350.5
09/02/2018 16:00:00,1339.6
12/02/2018 16:00:00,1386.23
13/02/2018 16:00:00,1414.51
14/02/2018 16:00:00,1451.05
15/02/2018 16:00:00,1461.76
16/02/2018 16:00:00,1448.69
20/02/2018 16:00:00,1468.35
21/02/2018 16:00:00,1482.92
22/02/2018 16:00:00,1485.34
23/02/2018 16:00:00,1500
26/02/2018 16:00:00,1521.95
27/02/2018 16:00:00,1511.98
28/02/2018 16:00:00,1512.45
01/03/2018 16:00:00,1493.45
02/03/2018 16:00:00,1500.25
05/03/2018 16:00:00,1523.61
06/03/2018 16:00:00,1537.64
07/03/2018 16:00:00,1545
08/03/2018 16:00:00,1551.86
09/03/2018 16:00:00,1578.89
12/03/2018 16:00:00,1598.39
13/03/2018 16:00:00,1588.18
14/03/2018 16:00:00,1591
15/03/2018 16:00:00,1582.32
16/03/2018 16:00:00,1571.68
19/03/2018 16:00:00,1544.93
20/03/2018 16:00:00,1586.51
21/03/2018 16:00:00,1581.86
22/03/2018 16:00:00,1544.92
23/03/2018 16:00:00,1495.56
26/03/2018 16:00:00,1555.86
27/03/2018 16:00:00,1497.05
28/03/2018 16:00:00,1431.42
29/03/2018 16:00:00,1447.34
02/04/2018 16:00:00,1371.99
03/04/2018 16:00:00,1392.05
04/04/2018 16:00:00,1410.57
05/04/2018 16:00:00,1451.75
06/04/2018 16:00:00,1405.23
09/04/2018 16:00:00,1406.08
10/04/2018 16:00:00,1436.22
11/04/2018 16:00:00,1427.05
12/04/2018 16:00:00,1448.5
